Job titiles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Automotive Service Advisor,18%,494,2081,0.23738587217683807,Leadership & Strategy
Bike Mechanic,18%,327,1249,0.2618094475580464,Medical & Healthcare
Crew Member,18%,504,1900,0.26526315789473687,Supply Chain & Logistics
Exterminator,18%,208,946,0.21987315010570824,Law Enforcement
Facilities Assistant,18%,382,1845,0.2070460704607046,Construction
Farm Worker,18%,203,822,0.24695863746958638,Sales & Marketing
Handyman,18%,212,919,0.2306855277475517,Hospitality
Heavy Equipment Operators,18%,235,1009,0.23290386521308226,Communication & PR
Installation Manager,18%,673,2670,0.25205992509363295,Data & IT
Insulator,18%,186,768,0.2421875,Administrative & Clerical
Journeyman,18%,206,838,0.2458233890214797,Leadership & Strategy
Lathe Machinist,18%,223,879,0.25369738339021614,Medical & Healthcare
Line Service Technician,18%,402,2017,0.19930589985126426,Supply Chain & Logistics
Low Voltage Technician,18%,434,2115,0.20520094562647753,Law Enforcement
Maintenance,18%,457,1854,0.2464940668824164,Construction
Maintenance Worker,18%,421,1649,0.2553062462098241,Sales & Marketing
Marine Mechanic,18%,400,1957,0.20439448134900357,Hospitality
Marine Surveyor,18%,482,2242,0.2149866190900981,Communication & PR
Mechanic,18%,358,1485,0.24107744107744108,Data & IT
Millwright,18%,309,1674,0.18458781362007168,Administrative & Clerical
Motorcycle Technician,18%,385,1932,0.19927536231884058,Leadership & Strategy
Paint Technician,18%,393,1801,0.21821210438645197,Medical & Healthcare
Parts Specialist,18%,580,2747,0.2111394248270841,Supply Chain & Logistics
Pipeline,18%,485,1928,0.25155601659751037,Law Enforcement
Pressure Washer,18%,257,1296,0.19830246913580246,Construction
Pump Operator,17%,487,2005,0.2428927680798005,Sales & Marketing
Roustabout,17%,468,1837,0.2547632008709853,Hospitality
School Custodian,17%,578,2449,0.236014699877501,Communication & PR
Steamfitter,17%,486,2023,0.2402372713791399,Data & IT
Steel Worker,17%,483,1917,0.2519561815336463,Administrative & Clerical
Substation Technician,16%,498,2066,0.24104549854791868,Leadership & Strategy
Tower Crane Operator,16%,481,1909,0.25196437925615506,Medical & Healthcare
Tree Climber,15%,474,1836,0.2581699346405229,Supply Chain & Logistics
Tree Trimmer,15%,476,1917,0.24830464267083985,Law Enforcement
Utility Operator,15%,531,2160,0.24583333333333332,Construction
Welder Apprentice,15%,516,2106,0.245014245014245,Sales & Marketing
Welder Helper,15%,518,2109,0.24561403508771928,Hospitality
Coating Inspector,15%,464,1732,0.2678983833718245,Communication & PR
Fabricator,15%,246,1018,0.24165029469548133,Data & IT
Freight Handler,15%,210,998,0.21042084168336672,Administrative & Clerical
Industrial Cleaner,15%,181,865,0.2092485549132948,Leadership & Strategy
Parts Clerk,15%,592,2344,0.2525597269624573,Medical & Healthcare
Product Tester,15%,782,3424,0.2283878504672897,Supply Chain & Logistics
Production Manager,15%,927,3806,0.24356279558591698,Law Enforcement
Production Supervisor,15%,913,3764,0.24256110520722635,Construction
Shift Leader,15%,996,3933,0.2532418001525553,Sales & Marketing
Tool And Die Maker,15%,503,2128,0.23637218045112782,Hospitality
Platform Engineer,15%,926,3846,0.24076963078523142,Communication & PR
Process Technician,15%,744,3051,0.24385447394296952,Data & IT
Release Engineer,15%,1179,4468,0.263876454789615,Administrative & Clerical
Software Development Manager,15%,1238,4840,0.25578512396694214,Leadership & Strategy
Software Engineering Manager,15%,1235,4837,0.25532354765350423,Medical & Healthcare
Staff Engineer,15%,1162,4576,0.25393356643356646,Supply Chain & Logistics
Director Of Sustainability,15%,834,3231,0.25812441968430827,Law Enforcement
Health Policy Analyst,15%,858,3197,0.2683766030653738,Construction
Psychometrician,15%,729,2848,0.2559691011235955,Sales & Marketing
Sustainability Consultant,15%,925,3786,0.24432118330692024,Hospitality
Sustainability Coordinator,15%,922,3790,0.24327176781002638,Communication & PR
Instructional Designer,15%,1387,5666,0.2447935051182492,Data & IT
Junior Graphic Designer,15%,1217,5123,0.23755611946125318,Administrative & Clerical
Activities Coordinator,15%,1085,4318,0.25127373784159335,Leadership & Strategy
Career Specialist,15%,1074,4405,0.2438138479001135,Medical & Healthcare
Chief Human Resources Officer,15%,916,3721,0.24617038430529428,Supply Chain & Logistics
Construction Supervisor,15%,847,3358,0.2522334723049434,Law Enforcement
Corporate Travel Consultant,15%,1077,4443,0.24240378122889938,Construction
Hr Consultant,15%,1071,4272,0.25070224719101125,Sales & Marketing
Hr Recruiter,15%,1072,4257,0.2518205308902983,Hospitality
Human Resource Consultant,15%,1058,4200,0.2519047619047619,Communication & PR
Human Resources Associate,15%,1049,4152,0.25264932562620424,Data & IT
Human Resources Recruiter,15%,1070,4234,0.25271610769957487,Administrative & Clerical
Labor Relations Specialist,15%,871,3744,0.2326388888888889,Leadership & Strategy
Nurse Recruiter,15%,942,4011,0.23485415108451757,Medical & Healthcare
Attorney,15%,800,3198,0.2501563477173233,Supply Chain & Logistics
Attorney General,15%,774,3080,0.2512987012987013,Law Enforcement
Judicial Law Clerk,15%,698,2908,0.24002751031636863,Construction
Law Clerk,15%,650,2816,0.23082386363636365,Sales & Marketing
Law Librarian,15%,672,3040,0.22105263157894736,Hospitality
Lawyer,15%,764,3329,0.22949834785220788,Communication & PR
Negotiator,15%,876,3713,0.23592782116886615,Data & IT
Horse Trainer,15%,230,885,0.2598870056497175,Administrative & Clerical
Kennel Assistant,15%,222,937,0.23692636072572038,Leadership & Strategy
Kennel Attendant,15%,222,931,0.23845327604726102,Medical & Healthcare
Kennel Technician,15%,220,929,0.23681377825618946,Supply Chain & Logistics
Veterinary Pathologist,15%,511,2048,0.24951171875,Law Enforcement
Party Chief,15%,565,2335,0.24197002141327623,Construction
Sushi Chef,15%,453,2032,0.22293307086614172,Sales & Marketing
Barber,15%,310,1258,0.246422893481717,Hospitality
Care Taker,15%,465,1741,0.2670878805284319,Communication & PR
Caretaker,15%,464,1829,0.2536905412793876,Data & IT
Home Attendant,15%,401,1604,0.25,Administrative & Clerical
Home Care Provider,15%,409,1607,0.2545115121344119,Leadership & Strategy
Home Caregiver,15%,414,1640,0.2524390243902439,Medical & Healthcare
Personal Caregiver,15%,523,2011,0.26006961710591747,Supply Chain & Logistics
Private Caregiver,15%,523,2172,0.24079189686924493,Law Enforcement
Senior Caregiver,15%,640,2521,0.2538675128917096,Construction
Detention Officer,15%,519,1946,0.26670092497430625,Sales & Marketing
Firearms Instructor,15%,349,1315,0.26539923954372624,Hospitality
Guard,15%,326,1280,0.2546875,Communication & PR
Immigration Officer,15%,546,1897,0.2878228782287823,Data & IT
Juvenile Detention Officer,15%,502,1928,0.2603734439834025,Administrative & Clerical
Military Officer,15%,572,2344,0.2440273037542662,Leadership & Strategy
Patrol Officer,15%,565,2259,0.2501106684373617,Medical & Healthcare
Police Cadet,15%,537,2063,0.26030053320407176,Supply Chain & Logistics
Police Lieutenant,15%,558,2265,0.24635761589403973,Law Enforcement
Police Sergeant,15%,561,2281,0.24594476106970628,Construction
Probation Officer,15%,661,2682,0.2464578672632364,Sales & Marketing
Public Safety Officer,15%,817,3365,0.24279346210995542,Hospitality
Cyber Security,15%,813,3139,0.25899968142720614,Communication & PR
Devops,15%,897,3315,0.27058823529411763,Data & IT
Field Technician,15%,794,2906,0.2732278045423262,Administrative & Clerical
Information Security,15%,1139,4371,0.26058110272248913,Leadership & Strategy
Information Technology,15%,1204,4579,0.2629395064424547,Medical & Healthcare
Infrastructure Manager,15%,1175,4387,0.26783679051743786,Supply Chain & Logistics
It Operations Manager,15%,1208,4479,0.26970305871846395,Law Enforcement
It Program Manager,15%,1221,4501,0.2712730504332371,Construction
Monitor Technician,15%,756,3115,0.24269662921348314,Sales & Marketing
Network Operations Manager,15%,1053,4388,0.23997265268915224,Hospitality
Senior Program Manager,15%,1213,5052,0.24010292953285828,Communication & PR
Systems Manager,15%,1216,4975,0.24442211055276383,Data & IT
Technical Lead,15%,1259,4828,0.2607705053852527,Administrative & Clerical
Addiction Counselor,15%,800,3204,0.24968789013732834,Leadership & Strategy
Behavior Analyst,15%,811,3056,0.26537958115183247,Medical & Healthcare
Behavioral Therapist,15%,786,2995,0.26243739565943236,Supply Chain & Logistics
Chemical Dependency Counselor,15%,771,2991,0.2577733199598796,Law Enforcement
Counseling Psychologist,15%,739,2892,0.25553250345781464,Construction
Developmental Psychologist,15%,722,2886,0.25017325017325015,Sales & Marketing
Licensed Professional Counselor,15%,655,2892,0.2264868603042877,Hospitality
Rehabilitation Counselor,15%,783,3133,0.24992020427705075,Communication & PR
Vocational Rehabilitation Counselor,15%,746,2931,0.2545206414193108,Data & IT
Commercial Real Estate Broker,15%,938,3670,0.2555858310626703,Administrative & Clerical
Housing Coordinator,15%,673,2555,0.2634050880626223,Leadership & Strategy
Lease Operator,15%,517,1986,0.26032225579053375,Medical & Healthcare
Real Estate Administrative Assistant,15%,1076,4249,0.2532360555424806,Supply Chain & Logistics
Real Estate Agent,15%,1093,4314,0.2533611497450162,Law Enforcement
Real Estate Appraiser,15%,1014,4121,0.24605678233438485,Construction
Real Estate Assistant,15%,1056,4199,0.2514884496308645,Sales & Marketing
Real Estate Associate,15%,1058,4199,0.2519647535127411,Hospitality
Real Estate Broker,15%,1071,4256,0.25164473684210525,Communication & PR
Residential Property Manager,15%,1054,4175,0.2524550898203593,Data & IT
Archaeologist,15%,698,2793,0.24991049051199427,Administrative & Clerical
Clinical Associate,15%,741,2848,0.2601825842696629,Leadership & Strategy
Energy Consultant,15%,889,3298,0.2695573074590661,Medical & Healthcare
Gemologist,15%,286,1183,0.24175824175824176,Supply Chain & Logistics
Geologist,15%,400,1534,0.2607561929595828,Law Enforcement
Library Aide,15%,632,2846,0.22206605762473647,Construction
Medical Engineer,15%,666,3053,0.21814608581722897,Sales & Marketing
Medical Scientist,15%,710,3157,0.22489705416534686,Hospitality
Physical Scientist,15%,537,2543,0.21116791191506096,Communication & PR
Radiation Safety Officer,15%,649,2822,0.22997873848334516,Data & IT
Research Scientist,15%,849,3400,0.24970588235294117,Administrative & Clerical
Wildlife Biologist,15%,531,2245,0.23652561247216036,Leadership & Strategy
Assessor,15%,822,3326,0.24714371617558628,Medical & Healthcare
Asset Management Analyst,15%,885,3693,0.239642567018684,Supply Chain & Logistics
Bank Examiner,15%,817,3332,0.24519807923169268,Law Enforcement
Banking Consultant,15%,911,3899,0.23364965375737368,Construction
Controller,15%,839,3328,0.25210336538461536,Sales & Marketing
Corporate Controller,15%,848,3330,0.25465465465465464,Hospitality
Finance Controller,15%,983,3620,0.27154696132596684,Communication & PR
Financial Advisor,15%,990,3837,0.2580140734949179,Data & IT
Financial Advisor Trainee,15%,956,3721,0.2569201827465735,Administrative & Clerical
Financial Controller,15%,975,3604,0.2705327413984462,Leadership & Strategy
Financial Manager,15%,962,3573,0.2692415337251609,Medical & Healthcare
In House Counsel,15%,698,2743,0.2544659132336857,Supply Chain & Logistics
Investment Manager,15%,839,3274,0.25626145387904703,Law Enforcement
Lending Manager,15%,1016,4131,0.2459452916969257,Construction
Loan Consultant,15%,1034,4224,0.24479166666666666,Sales & Marketing
Loan Officer Assistant,15%,1021,4171,0.2447854231599137,Hospitality
Mortgage Advisor,15%,1001,3967,0.2523317368288379,Communication & PR
Mortgage Specialist,15%,977,3902,0.2503844182470528,Data & IT
Personal Financial Advisor,15%,1035,4230,0.24468085106382978,Administrative & Clerical
Premium Auditor,15%,726,3031,0.2395249092708677,Leadership & Strategy
Reimbursement Specialist,15%,899,3586,0.25069715560513106,Medical & Healthcare
Senior Auditor,15%,1031,4047,0.25475660983444526,Supply Chain & Logistics
Senior Tax Accountant,15%,1032,4050,0.2548148148148148,Law Enforcement
Senior Treasury Analyst,15%,1052,4104,0.25633528265107214,Construction
Case Aide,15%,824,3508,0.2348916761687571,Sales & Marketing
Supervisor,15%,1202,4507,0.26669625027734634,Hospitality
Contract Analyst,15%,862,3657,0.2357123325129888,Communication & PR
Executive Manager,15%,995,3985,0.24968632371392724,Data & IT
Front Desk Manager,15%,841,3660,0.22978142076502733,Administrative & Clerical
Global Account Manager,15%,978,3921,0.24942616679418517,Leadership & Strategy
Manager,15%,1316,5181,0.2540050183362285,Medical & Healthcare
Market Manager,15%,1234,4926,0.2505075111652456,Supply Chain & Logistics
Patient Access Manager,15%,1101,4517,0.24374584901483284,Law Enforcement
Regional Director,15%,1182,4385,0.2695553021664766,Construction
Senior Manager,15%,1174,4360,0.26926605504587153,Sales & Marketing
Vice President Of Finance,15%,1138,4326,0.2630605640314378,Hospitality
Vice President Of Operations,15%,1147,4347,0.2638601334253508,Communication & PR
Vp Of Finance,15%,1118,4251,0.26299694189602446,Data & IT
Demonstrator,15%,845,3937,0.2146304292608585,Administrative & Clerical
Sales Lead,15%,1154,4417,0.26126330088295224,Leadership & Strategy
Sales Team Leader,15%,1157,4511,0.2564841498559078,Medical & Healthcare
Salesperson,15%,1104,4519,0.2443018366895331,Supply Chain & Logistics
Technical Account Manager,15%,1181,4640,0.2545258620689655,Law Enforcement
Territory Account Manager,15%,1156,4579,0.2524568683118585,Construction
Territory Sales Manager,15%,1154,4575,0.25224043715846994,Sales & Marketing
Wholesale Account Executive,15%,1080,4211,0.25647114699596296,Hospitality
Mds Coordinator,15%,827,3235,0.25564142194744977,Communication & PR
Public Health Nurse,15%,740,2968,0.24932614555256064,Data & IT
Utilization Review Nurse,15%,768,3134,0.2450542437779196,Administrative & Clerical
Bilingual,15%,848,3512,0.24145785876993167,Leadership & Strategy
Optical Manager,15%,633,2799,0.22615219721329047,Medical & Healthcare
Recreation Aide,15%,609,2418,0.2518610421836228,Supply Chain & Logistics
Architectural Engineer,15%,736,3015,0.24411276948590382,Law Enforcement
Clinical Engineer,15%,653,2764,0.2362518089725036,Construction
Commissioning Engineer,15%,658,2529,0.2601818900751285,Sales & Marketing
Electrical Apprentice,15%,577,2073,0.2783405692233478,Hospitality
Electromechanical Technician,15%,718,2526,0.2842438638163104,Communication & PR
Energy Manager,15%,891,3222,0.276536312849162,Data & IT
Engineer,15%,814,3007,0.27070169604256733,Administrative & Clerical
Flight Test Engineer,15%,704,2536,0.277602523659306,Leadership & Strategy
General Engineer,15%,790,2828,0.27934936350777934,Medical & Healthcare
Hardware Technician,15%,785,2771,0.28329123060267053,Supply Chain & Logistics
Instrument Engineer,15%,773,2730,0.28315018315018314,Law Enforcement
Academic Advisor,15%,905,3602,0.2512493059411438,Construction
Academic Counselor,15%,885,3544,0.2497178329571106,Sales & Marketing
Admissions Counselor,15%,885,3554,0.2490151941474395,Hospitality
Agriculture Teacher,15%,682,2797,0.2438326778691455,Communication & PR
Assistant Principal,15%,815,3341,0.2439389404369949,Data & IT
Assistant Superintendent,15%,775,3221,0.24060850667494568,Administrative & Clerical
Bilingual Teacher,15%,828,3274,0.2529016493585828,Leadership & Strategy
Business Education Teacher,15%,769,3071,0.2504070335395637,Medical & Healthcare
Curator,15%,957,3964,0.24142280524722504,Supply Chain & Logistics
Director Of Special Education,15%,777,2715,0.2861878453038674,Law Enforcement
Education Administrator,15%,838,3498,0.23956546598056033,Construction
Education Coordinator,15%,848,3590,0.2362116991643454,Sales & Marketing
Elementary School Principal,15%,678,2750,0.24654545454545454,Hospitality
Foreign Language Teacher,15%,566,2110,0.2682464454976303,Communication & PR
Guitar Teacher,15%,511,1879,0.271953166577967,Data & IT
Learning Consultant,15%,1004,4190,0.239618138424821,Administrative & Clerical
Nursing Faculty,15%,716,2814,0.2544420753375977,Leadership & Strategy
Nursing Instructor,15%,710,2811,0.25257915332621844,Medical & Healthcare
Residence Hall Director,15%,975,3743,0.2604862409831686,Supply Chain & Logistics
Special Needs Teacher,15%,940,3542,0.26538678712591757,Law Enforcement
Teacher,15%,1083,4106,0.2637603507062835,Construction
Technology Teacher,15%,1133,4256,0.2662124060150376,Sales & Marketing
University President,15%,1100,4081,0.2695417789757412,Hospitality
Entertainer,15%,718,2842,0.2526389866291344,Communication & PR
Fashion Designer,15%,907,3977,0.22806135277847625,Data & IT
Floral Assistant,15%,437,1943,0.2249099330931549,Administrative & Clerical
Junior Art Director,15%,1120,4809,0.2328966521106259,Leadership & Strategy
Producer,15%,1186,4984,0.23796147672552168,Medical & Healthcare
Senior Architect,15%,1136,4834,0.23500206868018203,Supply Chain & Logistics
Set Designer,15%,1131,4772,0.2370075440067058,Law Enforcement
Storyboard Artist,15%,1137,4903,0.23189883744646134,Construction
Venue Manager,15%,1187,4970,0.23883299798792756,Sales & Marketing
Associate Dentist,15%,674,2621,0.2571537581075925,Hospitality
Behavior Technician,15%,739,2905,0.25438898450946645,Communication & PR
Care Assistant,15%,612,2606,0.2348426707597851,Data & IT
Certified Medical Assistant,15%,701,2826,0.24805378627034677,Administrative & Clerical
Chiropractic Assistant,15%,659,2721,0.24219037118706357,Leadership & Strategy
Clinical Assistant,15%,748,2966,0.2521915037086986,Medical & Healthcare
Clinician,15%,724,2766,0.26174981923355023,Supply Chain & Logistics
Direct Care Professional,15%,665,2761,0.24085476276711337,Law Enforcement
Doctor Assistant,15%,802,3044,0.26346911957950064,Construction
Emergency Medicine Physician Assistant,15%,319,1159,0.27523727351164795,Sales & Marketing
Health Aide,15%,270,1051,0.25689819219790677,Hospitality
Health Assistant,15%,272,1053,0.258309591642925,Communication & PR
Hospice Aide,15%,276,1101,0.2506811989100817,Data & IT
Interventional Radiologist,15%,304,1140,0.26666666666666666,Administrative & Clerical
Lpn,15%,570,2178,0.26170798898071623,Leadership & Strategy
Lvn,15%,572,2181,0.26226501604768454,Medical & Healthcare
Medical Assistant,15%,703,2617,0.26862820022927014,Supply Chain & Logistics
Mental Health Assistant,15%,644,2545,0.2530451866404715,Law Enforcement
Warehouse Lead,15%,984,3971,0.24779652480483505,Construction
Warehouse Supervisor,15%,984,3940,0.24974619289340103,Sales & Marketing
Bilingual Customer Service,15%,1275,4798,0.2657357232180075,Hospitality
Call Center Representative,15%,1274,4798,0.26552730304293454,Communication & PR
Client Services Manager,15%,1217,4757,0.2558335085137692,Data & IT
Customer Service,15%,1254,4766,0.26311372219890894,Administrative & Clerical
Customer Service Representative,15%,1259,4772,0.2638306789606035,Leadership & Strategy
Customer Service Supervisor,15%,1227,4704,0.26084183673469385,Medical & Healthcare
Director Of Customer Service,15%,1203,4658,0.2582653499355947,Supply Chain & Logistics
Account Executive,15%,1162,4586,0.2533798517226341,Law Enforcement
Advertising Director,15%,1250,5196,0.2405696689761355,Construction
Animator,15%,1081,4149,0.26054470956857073,Sales & Marketing
Communications Coordinator,15%,1224,5144,0.2379471228615863,Hospitality
Assistant Store Manager,15%,920,3828,0.24033437826541273,Communication & PR
Bookstore Manager,15%,888,3743,0.23724285332620892,Data & IT
Grocery Manager,15%,648,2501,0.2590963614554178,Administrative & Clerical
Meat Manager,15%,575,2668,0.21551724137931033,Leadership & Strategy
Produce Manager,15%,670,2916,0.22976680384087791,Medical & Healthcare
Assistant Construction Manager,15%,940,3773,0.24913861648555527,Supply Chain & Logistics
Building Official,15%,908,3641,0.24938203790167537,Law Enforcement
Chief Estimator,15%,881,3492,0.252290950744559,Construction
Construction Coordinator,15%,919,3601,0.25520688697584004,Sales & Marketing
Construction Foreman,15%,887,3318,0.26732971669680533,Hospitality
Construction Manager,15%,930,3696,0.25162337662337664,Communication & PR
Electrical Helper,15%,251,996,0.2520080321285141,Data & IT
Fence Installer,15%,198,908,0.21806167400881057,Administrative & Clerical
Fork Lift Operator,15%,218,943,0.23117709437963946,Leadership & Strategy
Paver,15%,201,1091,0.1842346471127406,Medical & Healthcare
Plumber,15%,189,1028,0.18385214007782102,Supply Chain & Logistics
Scaffold Builder,15%,465,1840,0.25271739130434784,Law Enforcement
Welder,15%,515,2097,0.24558893657606104,Construction
Executive Recruiter,15%,947,3897,0.24300744162176033,Sales & Marketing
Business Specialist,15%,1247,5360,0.2326492537313433,Hospitality
Assistant Operations Manager,15%,1134,4936,0.22974068071312803,Communication & PR
Paraprofessional,15%,1040,4613,0.22544981573813136,Data & IT
Chief Diversity Officer,15%,870,3222,0.27001862197392923,Administrative & Clerical
Design Manager,15%,1297,5252,0.24695354150799695,Leadership & Strategy
Lacrosse Coach,15%,399,1707,0.23374340949033393,Medical & Healthcare
Swim Coach,15%,394,1700,0.23176470588235293,Supply Chain & Logistics
Tennis Coach,15%,392,1698,0.2308598351001178,Law Enforcement
Volleyball Coach,15%,393,1695,0.23185840707964603,Construction
Wrestling Coach,15%,392,1693,0.23154164205552275,Sales & Marketing
Electrical Assistant,15%,336,1274,0.26373626373626374,Hospitality
Electrician,15%,324,1222,0.265139116202946,Communication & PR
Electrician Helper,15%,316,1200,0.2633333333333333,Data & IT
Dock Supervisor,15%,772,2986,0.25853985264567986,Administrative & Clerical
Journeyman Electrician,15%,330,1256,0.2627388535031847,Leadership & Strategy
Journeyman Lineman,15%,333,1190,0.27983193277310925,Medical & Healthcare
Plant Supervisor,15%,735,3079,0.23871386813900616,Supply Chain & Logistics
Nurse Supervisor,15%,552,2365,0.23340380549682876,Law Enforcement
Pharmacy Manager,15%,691,2759,0.25045306270387824,Construction
Football Coach,15%,402,1708,0.23536299765807964,Sales & Marketing
Gymnastics Coach,15%,401,1749,0.22927387078330475,Hospitality
Soccer Coach,15%,407,1729,0.2353961827646038,Communication & PR
Bid Manager,15%,1060,4503,0.2353986231401288,Data & IT
Interpreter,15%,767,3843,0.19958365860005203,Administrative & Clerical
Team Manager,15%,1131,4894,0.23109930527176134,Leadership & Strategy
Baggage Handler,15%,281,1102,0.25499092558983666,Medical & Healthcare
Food Runner,15%,462,1985,0.2327455919395466,Supply Chain & Logistics
Surveillance Operator,15%,615,2665,0.23076923076923078,Law Enforcement
Chief Marketing Officer,15%,1268,5313,0.23865989083380387,Construction
Executive Director,15%,1129,4402,0.25647432985006813,Sales & Marketing
Managing Director,15%,1116,4285,0.26044340723453907,Hospitality
Senior Vice President,15%,1065,4113,0.2589350838803793,Communication & PR
Helper,15%,545,2280,0.23903508771929824,Data & IT
Summer Camp Counselor,15%,990,4169,0.23746701846965698,Administrative & Clerical
Property Manager,15%,1028,4703,0.2185838826281097,Leadership & Strategy
Real Estate Developer,15%,956,4077,0.23448614177090998,Medical & Healthcare
Inventory Supervisor,15%,913,3625,0.2518620689655172,Supply Chain & Logistics
Investment Officer,15%,986,3652,0.26998904709748084,Law Enforcement
Revenue Manager,15%,1042,4230,0.24633569739952718,Construction
Senior Staff Accountant,15%,941,3944,0.23859026369168357,Sales & Marketing
Admissions Representative,15%,1082,4543,0.23816861104996698,Hospitality
Assistant Registrar,15%,988,4086,0.24180127263827705,Communication & PR
Junior Copywriter,15%,1266,5425,0.23336405529953916,Data & IT
Landscape Designer,15%,694,3033,0.22881635344543355,Administrative & Clerical
Business Advisor,15%,1242,5280,0.23522727272727273,Leadership & Strategy
Contract Manager,15%,1135,4512,0.2515514184397163,Medical & Healthcare
Director Of Environmental Services,15%,891,3549,0.2510566356720203,Supply Chain & Logistics
Business Assistant,15%,1127,4627,0.24357034795763993,Law Enforcement
Diversity Manager,15%,851,3555,0.23938115330520393,Construction
Executive,15%,1191,4966,0.23983084977849375,Sales & Marketing
General Counsel,15%,1056,4223,0.25005919962112244,Hospitality
Grants Manager,15%,1047,4597,0.22775723297802916,Communication & PR
Management Trainee,15%,942,3787,0.24874570900448903,Data & IT
Medical Director,15%,821,3394,0.24189746611667648,Administrative & Clerical
Membership Director,15%,749,3073,0.2437357630979499,Leadership & Strategy
President,15%,756,3329,0.2270952237909282,Medical & Healthcare
Principal,15%,752,3340,0.2251497005988024,Supply Chain & Logistics
Resident Director,15%,665,2491,0.2669610598153352,Law Enforcement
School Director,15%,724,3011,0.24045167718365992,Construction
Vice President,15%,1127,4334,0.2600369173973235,Sales & Marketing
Part Time Sales Associate,15%,701,2858,0.24527641707487755,Hospitality
Sales Clerk,15%,892,4091,0.21803959912001955,Communication & PR
Sales Contractor,15%,915,4355,0.21010332950631458,Data & IT
Sales Engineer,15%,968,4215,0.22965599051008304,Administrative & Clerical
Sales Professional,15%,959,4467,0.21468547123349005,Leadership & Strategy
Salesman,15%,950,4446,0.21367521367521367,Medical & Healthcare
Strategic Account Manager,15%,1209,5127,0.2358104154476302,Supply Chain & Logistics
Technical Sales Manager,15%,1185,5065,0.23395853899308983,Law Enforcement
Territory Manager,15%,1122,4841,0.23177029539351374,Construction
Vendor,15%,950,4426,0.21464075915047448,Sales & Marketing
Yacht Broker,15%,886,3668,0.2415485278080698,Hospitality
Certified Nursing Assistant,15%,438,1579,0.2773907536415453,Communication & PR
Clinical Nursing Instructor,15%,668,2878,0.23210562890896455,Data & IT
Mds Nurse,15%,472,1856,0.2543103448275862,Administrative & Clerical
Nurse Anesthetist,15%,444,1696,0.2617924528301887,Leadership & Strategy
Nurse Educator,15%,562,2345,0.2396588486140725,Medical & Healthcare
Telephone Triage Nurse,15%,535,2609,0.20505940973553086,Supply Chain & Logistics
Triage Nurse,15%,510,2369,0.21528070915998312,Law Enforcement
Camp Director,15%,805,3243,0.24822695035460993,Construction
Community Planner,15%,845,3610,0.23407202216066483,Sales & Marketing
Night,15%,245,912,0.26864035087719296,Hospitality
Signing Agent,15%,333,1851,0.17990275526742303,Communication & PR
Traveler,15%,708,3088,0.22927461139896374,Data & IT
Assistant Engineer,15%,845,3010,0.2807308970099668,Administrative & Clerical
Boiler Operator,15%,676,2196,0.30783242258652094,Leadership & Strategy
Bridge Inspector,15%,787,2764,0.28473227206946455,Medical & Healthcare
Building Engineer,15%,1009,4044,0.24950544015825915,Supply Chain & Logistics
Civil Engineering Technician,15%,987,3995,0.24705882352941178,Law Enforcement
Construction Inspector,15%,898,3614,0.2484781405644715,Construction
Corrosion Technician,15%,750,2541,0.29515938606847697,Sales & Marketing
Cost Engineer,15%,1011,3766,0.26845459373340413,Hospitality
Director Of Engineering,15%,1180,4432,0.26624548736462095,Communication & PR
Electrical Engineering Technician,15%,1075,4411,0.243708909544321,Data & IT
Engineering Director,15%,1159,4344,0.266804788213628,Administrative & Clerical
Engineering Manager,15%,1164,4382,0.26563213144682796,Leadership & Strategy
Engineering Technician,15%,1045,4243,0.2462880037709168,Medical & Healthcare
Gas Technician,15%,545,2418,0.22539288668320925,Supply Chain & Logistics
Human Factors Engineer,15%,729,2803,0.2600784873349982,Law Enforcement
Industrial Electrician,15%,507,2062,0.24587778855480116,Construction
Industrial Mechanic,15%,535,2331,0.2295152295152295,Sales & Marketing
Instrument Technician,15%,771,3035,0.2540362438220758,Hospitality
Junior Engineer,15%,966,3547,0.2723428249224697,Communication & PR
Mechanical Engineering Technician,15%,469,1710,0.2742690058479532,Data & IT
Nuclear Engineer,15%,458,1671,0.27408737283064033,Administrative & Clerical
Plumbing Engineer,15%,457,1654,0.2762998790810157,Leadership & Strategy
Power Plant Engineer,15%,152,626,0.24281150159744408,Medical & Healthcare
Refrigeration Engineer,15%,122,500,0.244,Supply Chain & Logistics
Stationary Engineer,15%,117,503,0.23260437375745527,Law Enforcement
Utility Locator,15%,271,995,0.2723618090452261,Construction
Emergency Management,15%,826,3271,0.25252216447569553,Sales & Marketing
Management Assistant,15%,962,3872,0.2484504132231405,Hospitality
Office Associate,15%,982,3843,0.2555295342180588,Communication & PR
Office Manager,15%,1000,3894,0.25680534155110424,Data & IT
Operations Associate,15%,912,3664,0.24890829694323144,Administrative & Clerical
Personal Assistant,15%,1100,4371,0.2516586593456875,Leadership & Strategy
Practice Administrator,15%,832,3703,0.2246826897110451,Medical & Healthcare
Practice Manager,15%,833,3704,0.22489200863930886,Supply Chain & Logistics
Senior Executive Assistant,15%,798,3866,0.20641489912053804,Law Enforcement
Shift Supervisor,15%,721,3260,0.22116564417177914,Construction
Team Lead,15%,1183,5129,0.2306492493663482,Sales & Marketing
Aircraft Dispatcher,15%,450,1829,0.24603608529250956,Hospitality
